Cycle Label,Data State,Elapsed Time Sec,Qual State,Strain,Stress Mpa,Count,Sample,Alloy,Material_Form,Heat
Cycle 1,CapPass,0,Trend,0.00005,11.74,1,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.04,Trend,0.00007,15.48,2,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.07,Trend,0.0001,19.49,3,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.09,Trend,0.00012,23.44,4,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.12,Trend,0.00015,27.24,5,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.15,Trend,0.00017,31.04,6,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.17,Trend,0.0002,34.62,7,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.2,Trend,0.00023,38.06,8,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.22,Trend,0.00025,41.76,9,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.25,Trend,0.00028,45.53,10,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.29,Trend,0.0003,49.88,11,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.32,Trend,0.00033,53.89,12,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.35,Trend,0.00035,57.82,13,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.38,Trend,0.00038,61.64,14,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.41,Trend,0.0004,65.19,15,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.45,Trend,0.00043,68.96,16,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.48,Trend,0.00045,72.65,17,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.51,Trend,0.00048,76.65,18,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.55,Trend,0.0005,81,19,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.58,Trend,0.00053,84.87,20,43-6,Alloy 617,Plate,314626
Cycle 1,CapPass,0.61,Trend,0.00056,88.92,21,43-6,Alloy 617,Plate,314626
