"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",136.46,-120.5,"Trend",1.132,0.97,2.98,1,"43-6","Alloy 617","Plate",314626
2,"CapPass",137.83,-140.9,"Trend",0.978,5.09,7.28,2,"43-6","Alloy 617","Plate",314626
3,"CapPass",148.36,-166.0,"Trend",0.894,9.61,11.96,3,"43-6","Alloy 617","Plate",314626
4,"CapPass",168.04,-169.1,"Trend",0.994,14.48,17.03,4,"43-6","Alloy 617","Plate",314626
5,"CapPass",171.70,-170.0,"Trend",1.010,19.68,22.59,5,"43-6","Alloy 617","Plate",314626
6,"CapPass",173.56,-172.1,"Trend",1.008,25.44,28.39,6,"43-6","Alloy 617","Plate",314626
7,"CapPass",171.63,-167.3,"Trend",1.026,31.54,34.26,7,"43-6","Alloy 617","Plate",314626
8,"CapPass",172.09,-170.6,"Trend",1.009,37.34,40.53,8,"43-6","Alloy 617","Plate",314626
9,"CapPass",175.14,-170.5,"Trend",1.027,43.39,46.56,9,"43-6","Alloy 617","Plate",314626
10,"CapPass",176.52,-171.3,"Trend",1.031,49.40,52.57,10,"43-6","Alloy 617","Plate",314626
11,"CapPass",176.64,-178.4,"Trend",0.990,55.44,58.51,11,"43-6","Alloy 617","Plate",314626
12,"CapPass",175.29,-178.2,"Trend",0.984,61.49,64.58,12,"43-6","Alloy 617","Plate",314626
13,"CapPass",177.78,-179.8,"Trend",0.989,67.51,70.52,13,"43-6","Alloy 617","Plate",314626
14,"CapPass",171.59,-174.4,"Trend",0.984,73.24,76.39,14,"43-6","Alloy 617","Plate",314626
15,"CapPass",177.03,-172.5,"Trend",1.026,79.33,82.36,15,"43-6","Alloy 617","Plate",314626
16,"CapPass",179.54,-172.7,"Trend",1.040,85.48,88.61,16,"43-6","Alloy 617","Plate",314626
17,"CapPass",180.49,-180.9,"Trend",0.998,91.50,94.61,17,"43-6","Alloy 617","Plate",314626
18,"CapPass",180.29,-177.2,"Trend",1.017,97.61,100.39,18,"43-6","Alloy 617","Plate",314626
19,"CapPass",181.23,-174.5,"Trend",1.038,103.52,106.34,19,"43-6","Alloy 617","Plate",314626
20,"CapPass",181.35,-175.0,"Trend",1.036,109.58,112.32,20,"43-6","Alloy 617","Plate",314626
21,"CapPass",182.99,-178.1,"Trend",1.027,115.59,118.35,21,"43-6","Alloy 617","Plate",314626
22,"CapPass",182.35,-178.3,"Trend",1.023,121.61,124.67,22,"43-6","Alloy 617","Plate",314626
23,"CapPass",184.29,-179.8,"Trend",1.025,127.59,130.40,23,"43-6","Alloy 617","Plate",314626
24,"CapPass",184.10,-178.7,"Trend",1.030,133.62,136.69,24,"43-6","Alloy 617","Plate",314626
25,"CapPass",177.54,-186.1,"Trend",0.954,139.68,142.60,25,"43-6","Alloy 617","Plate",314626
26,"CapPass",178.89,-181.4,"Trend",0.986,145.40,148.61,26,"43-6","Alloy 617","Plate",314626
27,"CapPass",184.97,-180.1,"Trend",1.027,151.60,154.44,27,"43-6","Alloy 617","Plate",314626
28,"CapPass",181.70,-187.5,"Trend",0.969,157.71,160.63,28,"43-6","Alloy 617","Plate",314626
