"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
21,"CapPass",199.01,-195.40,,"Qualified",1.018,157.85,161.93,"416-15",1,"Alloy 617","Plate",314626
22,"CapPass",192.79,-197.37,,"Qualified",0.977,165.76,169.91,"416-15",2,"Alloy 617","Plate",314626
23,"CapPass",198.71,-196.43,,"Qualified",1.012,174.08,178.00,"416-15",3,"Alloy 617","Plate",314626
24,"CapPass",197.64,-195.34,,"Qualified",1.012,182.06,185.88,"416-15",4,"Alloy 617","Plate",314626
25,"CapPass",197.54,-196.04,,"Qualified",1.008,189.87,193.84,"416-15",5,"Alloy 617","Plate",314626
26,"CapPass",197.76,-198.20,,"Qualified",0.998,198.02,202.04,"416-15",6,"Alloy 617","Plate",314626
27,"CapPass",198.68,-199.20,,"Qualified",0.997,205.97,209.99,"416-15",7,"Alloy 617","Plate",314626
28,"CapPass",199.38,-199.11,,"Qualified",1.001,214.10,217.95,"416-15",8,"Alloy 617","Plate",314626
29,"CapPass",197.65,-200.03,,"Qualified",0.988,222.04,226.07,"416-15",9,"Alloy 617","Plate",314626
30,"CapPass",202.84,-198.26,,"Qualified",1.023,230.20,233.91,"416-15",10,"Alloy 617","Plate",314626
31,"CapPass",200.64,-202.70,,"Qualified",0.990,238.13,242.18,"416-15",11,"Alloy 617","Plate",314626
32,"CapPass",197.80,-197.18,,"Qualified",1.003,245.73,250.25,"416-15",12,"Alloy 617","Plate",314626
33,"CapPass",201.96,-203.71,,"Qualified",0.991,254.18,258.15,"416-15",13,"Alloy 617","Plate",314626
34,"CapPass",203.22,-198.34,,"Qualified",1.025,262.16,266.00,"416-15",14,"Alloy 617","Plate",314626
35,"CapPass",201.19,-201.28,,"Qualified",1.000,270.00,274.12,"416-15",15,"Alloy 617","Plate",314626
36,"CapPass",201.77,-202.65,,"Qualified",0.996,277.99,282.20,"416-15",16,"Alloy 617","Plate",314626
37,"CapPass",206.39,-206.29,,"Qualified",1.000,286.20,290.23,"416-15",17,"Alloy 617","Plate",314626
38,"CapPass",198.08,-200.95,,"Qualified",0.986,293.93,298.03,"416-15",18,"Alloy 617","Plate",314626
39,"CapPass",201.11,-208.31,,"Qualified",0.965,302.03,306.29,"416-15",19,"Alloy 617","Plate",314626
40,"CapPass",199.78,-194.15,,"Qualified",1.029,1.51,4.71,"416-15",20,"Alloy 617","Plate",314626
41,"CapPass",195.77,-193.29,,"Qualified",1.013,7.90,11.26,"416-15",21,"Alloy 617","Plate",314626
42,"CapPass",196.29,-200.56,,"Qualified",0.979,14.78,18.58,"416-15",22,"Alloy 617","Plate",314626
43,"CapPass",198.80,-202.17,,"Qualified",0.983,22.00,26.01,"416-15",23,"Alloy 617","Plate",314626
44,"CapPass",205.84,-199.57,,"Qualified",1.031,29.96,33.66,"416-15",24,"Alloy 617","Plate",314626
45,"CapPass",201.07,-198.67,,"Qualified",1.012,38.03,42.03,"416-15",25,"Alloy 617","Plate",314626
46,"CapPass",201.57,-203.34,,"Qualified",0.991,45.95,49.84,"416-15",26,"Alloy 617","Plate",314626
47,"CapPass",201.46,-199.06,,"Qualified",1.012,53.76,58.04,"416-15",27,"Alloy 617","Plate",314626
48,"CapPass",203.77,-204.93,,"Qualified",0.994,62.00,65.94,"416-15",28,"Alloy 617","Plate",314626
49,"CapPass",201.69,-203.93,,"Qualified",0.989,69.77,73.91,"416-15",29,"Alloy 617","Plate",314626
50,"CapPass",203.46,-204.71,,"Qualified",0.994,77.91,81.94,"416-15",30,"Alloy 617","Plate",314626
51,"CapPass",200.29,-198.33,,"Qualified",1.010,86.08,89.64,"416-15",31,"Alloy 617","Plate",314626
52,"CapPass",205.33,-205.19,,"Qualified",1.001,93.96,97.94,"416-15",32,"Alloy 617","Plate",314626
53,"CapPass",204.67,-202.10,,"Qualified",1.013,102.06,105.85,"416-15",33,"Alloy 617","Plate",314626
54,"CapPass",205.94,-203.33,,"Qualified",1.013,110.06,113.96,"416-15",34,"Alloy 617","Plate",314626
55,"CapPass",205.31,-198.91,,"Qualified",1.032,117.99,122.14,"416-15",35,"Alloy 617","Plate",314626
56,"CapPass",209.80,-204.02,,"Qualified",1.028,126.05,129.80,"416-15",36,"Alloy 617","Plate",314626
57,"CapPass",205.88,-207.06,,"Qualified",0.994,133.96,138.01,"416-15",37,"Alloy 617","Plate",314626
58,"CapPass",200.91,-207.26,,"Qualified",0.969,141.94,145.92,"416-15",38,"Alloy 617","Plate",314626
59,"CapPass",203.68,-201.47,,"Qualified",1.011,149.91,153.77,"416-15",39,"Alloy 617","Plate",314626
60,"CapPass",207.17,-208.00,,"Qualified",0.996,158.06,162.08,"416-15",40,"Alloy 617","Plate",314626
61,"CapPass",206.40,-200.10,,"Qualified",1.031,166.04,169.52,"416-15",41,"Alloy 617","Plate",314626
62,"CapPass",201.41,-207.74,,"Qualified",0.970,173.71,178.13,"416-15",42,"Alloy 617","Plate",314626
63,"CapPass",205.81,-207.14,,"Qualified",0.994,182.20,186.18,"416-15",43,"Alloy 617","Plate",314626
64,"CapPass",206.41,-206.99,,"Qualified",0.997,190.05,193.88,"416-15",44,"Alloy 617","Plate",314626
65,"CapPass",206.17,-208.02,,"Qualified",0.991,198.20,202.04,"416-15",45,"Alloy 617","Plate",314626
66,"CapPass",203.76,-204.37,,"Qualified",0.997,206.20,210.22,"416-15",46,"Alloy 617","Plate",314626
67,"CapPass",208.47,-209.85,,"Qualified",0.993,214.14,218.14,"416-15",47,"Alloy 617","Plate",314626
68,"CapPass",204.35,-208.00,,"Qualified",0.982,221.88,226.10,"416-15",48,"Alloy 617","Plate",314626
69,"CapPass",208.11,-209.15,,"Qualified",0.995,230.22,234.18,"416-15",49,"Alloy 617","Plate",314626
70,"CapPass",211.52,-205.37,,"Qualified",1.030,238.23,241.79,"416-15",50,"Alloy 617","Plate",314626
71,"CapPass",204.41,-210.68,,"Qualified",0.970,246.25,250.17,"416-15",51,"Alloy 617","Plate",314626
72,"CapPass",210.25,-210.96,,"Qualified",0.997,254.12,258.09,"416-15",52,"Alloy 617","Plate",314626
73,"CapPass",205.52,-205.03,,"Qualified",1.002,262.02,265.89,"416-15",53,"Alloy 617","Plate",314626
74,"CapPass",208.67,-206.88,,"Qualified",1.009,270.24,274.00,"416-15",54,"Alloy 617","Plate",314626
75,"CapPass",205.49,-208.87,,"Qualified",0.984,278.31,282.20,"416-15",55,"Alloy 617","Plate",314626
76,"CapPass",203.89,-204.51,,"Qualified",0.997,285.75,289.84,"416-15",56,"Alloy 617","Plate",314626
77,"CapPass",204.37,-201.96,,"Qualified",1.012,293.83,297.84,"416-15",57,"Alloy 617","Plate",314626
78,"CapPass",206.26,-203.61,,"Qualified",1.013,302.31,306.33,"416-15",58,"Alloy 617","Plate",314626
79,"CapPass",204.98,-210.81,,"Qualified",0.972,310.03,314.03,"416-15",59,"Alloy 617","Plate",314626
80,"CapPass",209.13,-207.09,,"Qualified",1.010,318.21,322.13,"416-15",60,"Alloy 617","Plate",314626
81,"CapPass",202.30,-206.16,,"Qualified",0.981,325.84,330.01,"416-15",61,"Alloy 617","Plate",314626
82,"CapPass",206.79,-205.03,,"Qualified",1.009,334.17,338.01,"416-15",62,"Alloy 617","Plate",314626
83,"CapPass",204.42,-203.78,,"Qualified",1.003,342.37,345.92,"416-15",63,"Alloy 617","Plate",314626
84,"CapPass",201.61,-202.32,,"Qualified",0.997,349.85,353.89,"416-15",64,"Alloy 617","Plate",314626
85,"CapPass",203.03,-205.33,,"Qualified",0.989,358.01,361.85,"416-15",65,"Alloy 617","Plate",314626
86,"CapPass",201.34,-207.53,,"Qualified",0.970,365.85,370.12,"416-15",66,"Alloy 617","Plate",314626
87,"CapPass",207.20,-207.32,,"Qualified",0.999,374.39,378.17,"416-15",67,"Alloy 617","Plate",314626
88,"CapPass",209.91,-209.10,,"Qualified",1.004,382.33,386.16,"416-15",68,"Alloy 617","Plate",314626
89,"CapPass",204.12,-210.76,,"Qualified",0.968,390.41,394.37,"416-15",69,"Alloy 617","Plate",314626
90,"CapPass",208.61,-206.97,,"Qualified",1.008,398.44,402.44,"416-15",70,"Alloy 617","Plate",314626
