"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",0.00005,0.37,1,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.05,"Trend",0.00010,8.27,2,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.10,"Trend",0.00015,16.13,3,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.15,"Trend",0.00020,22.68,4,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.27,"Trend",0.00025,28.86,5,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.35,"Trend",0.00030,37.26,6,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.39,"Trend",0.00035,45.54,7,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.42,"Trend",0.00040,53.03,8,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.46,"Trend",0.00046,60.21,9,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.51,"Trend",0.00051,67.34,10,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.58,"Trend",0.00056,74.60,11,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.65,"Trend",0.00061,81.90,12,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.71,"Trend",0.00066,88.50,13,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.77,"Trend",0.00071,95.76,14,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.80,"Trend",0.00073,100.45,15,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.83,"Trend",0.00076,104.43,16,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.86,"Trend",0.00081,112.38,17,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.90,"Trend",0.00086,120.42,18,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.94,"Trend",0.00091,127.98,19,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.97,"Trend",0.00096,135.65,20,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.02,"Trend",0.00101,143.69,21,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.06,"Trend",0.00106,150.87,22,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.10,"Trend",0.00111,157.41,23,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.13,"Trend",0.00116,161.36,24,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.15,"Trend",0.00121,163.19,25,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.17,"Trend",0.00127,164.24,26,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.19,"Trend",0.00132,164.94,27,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.20,"Trend",0.00137,165.41,28,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.23,"Trend",0.00142,165.31,29,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.47,"Trend",0.00147,168.31,30,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.51,"Trend",0.00152,172.57,31,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00159,165.71,32,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00167,166.09,33,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00172,166.28,34,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00178,166.37,35,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00185,166.50,36,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00192,166.59,37,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Trend",0.00199,166.71,38,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.53,"Trend",0.00205,166.88,39,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.53,"Trend",0.00211,167.04,40,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.53,"Trend",0.00219,167.35,41,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.53,"Trend",0.00224,167.67,42,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.54,"Trend",0.00218,168.06,43,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.59,"Trend",0.00213,149.11,44,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.61,"Trend",0.00208,141.05,45,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.62,"Trend",0.00203,133.52,46,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.63,"Trend",0.00198,126.16,47,"416-9","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.65,"Trend",0.00193,118.90,48,"416-9","Alloy 617","Plate",314626
