"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
-2.36,0.00006,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"43-3","Alloy 617",314626,"Plate"
0.80,0.00008,"Qualified",,0.17,"CapPass","Cycle 1",1,2,"43-3","Alloy 617",314626,"Plate"
4.49,0.00011,"Qualified",,0.44,"CapPass","Cycle 1",1,3,"43-3","Alloy 617",314626,"Plate"
10.99,0.00015,"Qualified",,1.17,"CapPass","Cycle 1",1,4,"43-3","Alloy 617",314626,"Plate"
12.53,0.00016,"Qualified",,1.41,"CapPass","Cycle 1",1,5,"43-3","Alloy 617",314626,"Plate"
19.16,0.00021,"Qualified",,1.77,"CapPass","Cycle 1",1,6,"43-3","Alloy 617",314626,"Plate"
23.18,0.00024,"Qualified",,2.17,"CapPass","Cycle 1",1,7,"43-3","Alloy 617",314626,"Plate"
26.74,0.00026,"Qualified",,2.40,"CapPass","Cycle 1",1,8,"43-3","Alloy 617",314626,"Plate"
36.12,0.00031,"Qualified",,3.00,"CapPass","Cycle 1",1,9,"43-3","Alloy 617",314626,"Plate"
40.98,0.00035,"Qualified",,3.17,"CapPass","Cycle 1",1,10,"43-3","Alloy 617",314626,"Plate"
42.77,0.00036,"Qualified",,3.24,"CapPass","Cycle 1",1,11,"43-3","Alloy 617",314626,"Plate"
48.93,0.00041,"Qualified",,3.64,"CapPass","Cycle 1",1,12,"43-3","Alloy 617",314626,"Plate"
55.33,0.00046,"Qualified",,4.17,"CapPass","Cycle 1",1,13,"43-3","Alloy 617",314626,"Plate"
55.89,0.00046,"Qualified",,4.21,"CapPass","Cycle 1",1,14,"43-3","Alloy 617",314626,"Plate"
63.17,0.00051,"Qualified",,4.62,"CapPass","Cycle 1",1,15,"43-3","Alloy 617",314626,"Plate"
63.39,0.00056,"Qualified",,5.03,"CapPass","Cycle 1",1,16,"43-3","Alloy 617",314626,"Plate"
63.47,0.00057,"Qualified",,5.17,"CapPass","Cycle 1",1,17,"43-3","Alloy 617",314626,"Plate"
66.39,0.00061,"Qualified",,5.65,"CapPass","Cycle 1",1,18,"43-3","Alloy 617",314626,"Plate"
74.81,0.00066,"Qualified",,6.17,"CapPass","Cycle 1",1,19,"43-3","Alloy 617",314626,"Plate"
75.50,0.00066,"Qualified",,6.22,"CapPass","Cycle 1",1,20,"43-3","Alloy 617",314626,"Plate"
81.69,0.00071,"Qualified",,6.73,"CapPass","Cycle 1",1,21,"43-3","Alloy 617",314626,"Plate"
84.74,0.00076,"Qualified",,7.17,"CapPass","Cycle 1",1,22,"43-3","Alloy 617",314626,"Plate"
85.07,0.00076,"Qualified",,7.21,"CapPass","Cycle 1",1,23,"43-3","Alloy 617",314626,"Plate"
90.56,0.00081,"Qualified",,7.71,"CapPass","Cycle 1",1,24,"43-3","Alloy 617",314626,"Plate"
95.04,0.00086,"Qualified",,8.17,"CapPass","Cycle 1",1,25,"43-3","Alloy 617",314626,"Plate"
