"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",120.12,-95.21,,"Qualified",1.262,10.88,204.70,"J-6",1,"Alloy 617","Plate",314626
2,"CapPass",96.75,-95.64,,"Qualified",1.012,414.48,662.56,"J-6",2,"Alloy 617","Plate",314626
3,"CapPass",97.63,-95.31,,"Qualified",1.024,782.51,1009.11,"J-6",3,"Alloy 617","Plate",314626
4,"CapPass",98.04,-95.40,,"Qualified",1.028,1250.32,1440.12,"J-6",4,"Alloy 617","Plate",314626
5,"CapPass",99.40,-96.58,,"Qualified",1.029,1595.00,1845.29,"J-6",5,"Alloy 617","Plate",314626
6,"CapPass",96.89,-95.70,,"Qualified",1.012,2035.11,2242.02,"J-6",6,"Alloy 617","Plate",314626
7,"CapPass",97.42,-94.56,,"Qualified",1.030,2388.97,2621.05,"J-6",7,"Alloy 617","Plate",314626
8,"CapPass",98.43,-94.29,,"Qualified",1.044,2774.01,2986.91,"J-6",8,"Alloy 617","Plate",314626
9,"CapPass",97.25,-95.19,,"Qualified",1.022,3218.61,3391.83,"J-6",9,"Alloy 617","Plate",314626
10,"CapPass",95.80,-95.07,,"Qualified",1.008,3640.48,3808.14,"J-6",10,"Alloy 617","Plate",314626
11,"CapPass",96.75,-94.88,,"Qualified",1.020,4036.91,4247.44,"J-6",11,"Alloy 617","Plate",314626
12,"CapPass",96.50,-93.89,,"Qualified",1.028,4432.18,4628.40,"J-6",12,"Alloy 617","Plate",314626
13,"CapPass",96.64,-93.61,,"Qualified",1.032,4733.97,5032.53,"J-6",13,"Alloy 617","Plate",314626
14,"CapPass",96.30,-94.00,,"Qualified",1.025,5169.43,5446.62,"J-6",14,"Alloy 617","Plate",314626
15,"CapPass",95.96,-93.98,,"Qualified",1.021,5580.72,5837.73,"J-6",15,"Alloy 617","Plate",314626
16,"CapPass",96.52,-93.91,,"Qualified",1.028,6044.30,6215.94,"J-6",16,"Alloy 617","Plate",314626
17,"CapPass",96.73,-93.89,,"Qualified",1.030,6437.02,6574.23,"J-6",17,"Alloy 617","Plate",314626
18,"CapPass",96.53,-93.33,,"Qualified",1.034,6805.11,7021.90,"J-6",18,"Alloy 617","Plate",314626
19,"CapPass",96.10,-92.74,,"Qualified",1.036,7164.44,7377.67,"J-6",19,"Alloy 617","Plate",314626
20,"CapPass",94.96,-93.08,,"Qualified",1.020,7624.27,7836.22,"J-6",20,"Alloy 617","Plate",314626
21,"CapPass",96.74,-93.07,,"Qualified",1.039,8018.58,8243.60,"J-6",21,"Alloy 617","Plate",314626
22,"CapPass",95.43,-92.15,,"Qualified",1.036,8339.90,8623.87,"J-6",22,"Alloy 617","Plate",314626
23,"CapPass",95.33,-93.41,,"Qualified",1.021,8811.44,9025.23,"J-6",23,"Alloy 617","Plate",314626
