"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",-0.00001,8.47,1,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.09,"Trend",0.00000,11.98,2,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.15,"Trend",0.00001,14.12,3,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.18,"Trend",0.00004,18.22,4,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.21,"Trend",0.00004,18.36,5,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Trend",0.00006,21.86,6,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.31,"Trend",0.00009,25.56,7,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.31,"Trend",0.00009,25.98,8,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.34,"Trend",0.00011,29.63,9,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.40,"Trend",0.00014,32.95,10,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.40,"Trend",0.00014,33.31,11,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.46,"Trend",0.00017,37.38,12,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.50,"Trend",0.00018,39.11,13,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.53,"Trend",0.00019,42.19,14,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.59,"Trend",0.00022,45.97,15,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.59,"Trend",0.00023,48.26,16,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.62,"Trend",0.00024,50.28,17,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.65,"Trend",0.00027,54.11,18,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.68,"Trend",0.00029,57.66,19,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.68,"Trend",0.00032,61.02,20,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.71,"Trend",0.00032,61.77,21,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.75,"Trend",0.00034,65.71,22,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.78,"Trend",0.00037,69.33,23,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.78,"Trend",0.00040,72.23,24,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.81,"Trend",0.00040,73.52,25,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.84,"Trend",0.00042,76.46,26,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.87,"Trend",0.00045,79.67,27,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.90,"Trend",0.00047,83.56,28,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.90,"Trend",0.00047,83.86,29,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.93,"Trend",0.00050,86.53,30,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.96,"Trend",0.00052,90.40,31,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.00,"Trend",0.00054,92.68,32,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.00,"Trend",0.00055,93.43,33,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.06,"Trend",0.00057,95.78,34,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.09,"Trend",0.00058,96.21,35,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.18,"Trend",0.00058,94.00,36,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.28,"Trend",0.00055,88.36,37,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.31,"Trend",0.00054,88.07,38,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.34,"Trend",0.00052,85.34,39,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.40,"Trend",0.00050,82.66,40,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.40,"Trend",0.00050,81.90,41,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.50,"Trend",0.00047,78.10,42,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.50,"Trend",0.00047,77.75,43,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.56,"Trend",0.00045,73.75,44,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.59,"Trend",0.00043,71.45,45,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.62,"Trend",0.00042,69.45,46,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.65,"Trend",0.00040,66.99,47,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.68,"Trend",0.00038,63.76,48,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.71,"Trend",0.00037,63.12,49,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.75,"Trend",0.00035,59.81,50,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.78,"Trend",0.00032,55.75,51,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.81,"Trend",0.00032,55.07,52,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.81,"Trend",0.00030,52.27,53,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.87,"Trend",0.00027,48.30,54,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.90,"Trend",0.00025,45.25,55,"A-20","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.90,"Trend",0.00025,45.10,56,"A-20","Alloy 617","Plate",314626
