"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",0.00003,2.54,1,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.04,"Trend",0.00006,7.94,2,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.07,"Trend",0.00008,11.27,3,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.11,"Trend",0.00011,15.56,4,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.14,"Trend",0.00013,19.51,5,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.17,"Trend",0.00016,23.43,6,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.18,"Trend",0.00018,26.26,7,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.22,"Trend",0.00021,29.89,8,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Trend",0.00023,32.79,9,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.28,"Trend",0.00026,36.12,10,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.32,"Trend",0.00028,40.54,11,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.37,"Trend",0.00031,44.46,12,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.39,"Trend",0.00034,46.74,13,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.43,"Trend",0.00036,50.62,14,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.48,"Trend",0.00039,54.00,15,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.51,"Trend",0.00041,58.05,16,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.54,"Trend",0.00044,62.19,17,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.57,"Trend",0.00046,66.07,18,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.59,"Trend",0.00049,69.21,19,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.62,"Trend",0.00051,73.00,20,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.64,"Trend",0.00054,76.47,21,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.67,"Trend",0.00056,80.22,22,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.70,"Trend",0.00059,83.53,23,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.72,"Trend",0.00062,86.92,24,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.75,"Trend",0.00064,90.22,25,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.76,"Trend",0.00067,93.50,26,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.78,"Trend",0.00067,93.98,27,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.79,"Trend",0.00069,96.55,28,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.82,"Trend",0.00072,100.01,29,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.86,"Trend",0.00074,102.81,30,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.89,"Trend",0.00077,105.45,31,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.93,"Trend",0.00079,106.30,32,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.06,"Trend",0.00077,99.48,33,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.11,"Trend",0.00074,94.20,34,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.14,"Trend",0.00072,90.43,35,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.17,"Trend",0.00069,86.19,36,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.20,"Trend",0.00067,82.58,37,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.23,"Trend",0.00064,78.65,38,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.26,"Trend",0.00062,75.08,39,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.28,"Trend",0.00059,71.76,40,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.32,"Trend",0.00057,67.97,41,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.34,"Trend",0.00054,65.06,42,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.39,"Trend",0.00051,61.54,43,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.42,"Trend",0.00049,58.20,44,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.45,"Trend",0.00046,54.29,45,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.48,"Trend",0.00044,51.04,46,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.51,"Trend",0.00041,47.46,47,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.56,"Trend",0.00039,44.05,48,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.59,"Trend",0.00036,40.59,49,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.62,"Trend",0.00034,36.87,50,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.67,"Trend",0.00031,32.74,51,"B-3","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.70,"Trend",0.00029,29.58,52,"B-3","Alloy 617","Plate",314626
