"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Trend",0.00007,6.24,1,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.02,"Trend",0.00007,7.62,2,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.05,"Trend",0.00010,11.37,3,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.08,"Trend",0.00012,14.92,4,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.10,"Trend",0.00014,17.26,5,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.11,"Trend",0.00015,18.11,6,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.14,"Trend",0.00017,21.69,7,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.17,"Trend",0.00020,25.19,8,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.20,"Trend",0.00022,28.61,9,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.20,"Trend",0.00022,28.83,10,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.23,"Trend",0.00025,32.25,11,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.27,"Trend",0.00027,35.80,12,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.30,"Trend",0.00030,39.36,13,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.30,"Trend",0.00030,39.44,14,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.33,"Trend",0.00032,43.17,15,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.36,"Trend",0.00035,46.33,16,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.39,"Trend",0.00038,50.18,17,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.40,"Trend",0.00038,51.50,18,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.42,"Trend",0.00040,53.85,19,"F-12","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.44,"Trend",0.00043,57.42,20,"F-12","Alloy 617","Plate",314626
