Cycle,Data State,Max Stress Mpa,Min Stress Mpa,Qual State,Stress Ratio,Time Max Stress Sec,Time Min Stress Sec,Count,Sample,Alloy,Material_Form,Heat
1,CapPass,96.52,-69.44,Trend,1.39,1.09,3.12,1,A-20,Alloy 617,Plate,314626
2,CapPass,102.14,-94.46,Trend,1.081,5.18,7.56,2,A-20,Alloy 617,Plate,314626
3,CapPass,108.05,-121.70,Trend,0.888,9.71,12.25,3,A-20,Alloy 617,Plate,314626
4,CapPass,127.22,-122.40,Trend,1.04,14.78,17.37,4,A-20,Alloy 617,Plate,314626
5,CapPass,147.89,-149.70,Trend,0.988,20.06,22.84,5,A-20,Alloy 617,Plate,314626
6,CapPass,142.53,-159.70,Trend,0.893,25.71,28.59,6,A-20,Alloy 617,Plate,314626
7,CapPass,151.46,-161.20,Trend,0.939,31.56,34.46,7,A-20,Alloy 617,Plate,314626
8,CapPass,158.6,-164.40,Trend,0.965,37.43,40.4,8,A-20,Alloy 617,Plate,314626
9,CapPass,156.75,-169.50,Trend,0.925,43.46,46.43,9,A-20,Alloy 617,Plate,314626
10,CapPass,161.2,-168.40,Trend,0.957,49.46,52.4,10,A-20,Alloy 617,Plate,314626
11,CapPass,166,-168.60,Trend,0.985,55.34,58.34,11,A-20,Alloy 617,Plate,314626
12,CapPass,168.02,-166.30,Trend,1.01,61.37,64.34,12,A-20,Alloy 617,Plate,314626
13,CapPass,166.96,-166.80,Trend,1.001,67.4,70.37,13,A-20,Alloy 617,Plate,314626
14,CapPass,168.32,-167.20,Trend,1.007,73.43,76.37,14,A-20,Alloy 617,Plate,314626
15,CapPass,169.88,-166.40,Trend,1.021,79.4,82.37,15,A-20,Alloy 617,Plate,314626
16,CapPass,166.66,-169.70,Trend,0.982,85.46,88.4,16,A-20,Alloy 617,Plate,314626
17,CapPass,170.99,-170.80,Trend,1.001,91.4,94.43,17,A-20,Alloy 617,Plate,314626
18,CapPass,170.07,-167.00,Trend,1.018,97.46,100.46,18,A-20,Alloy 617,Plate,314626
19,CapPass,168.46,-168.90,Trend,0.998,103.5,106.46,19,A-20,Alloy 617,Plate,314626
20,CapPass,173.4,-169.20,Trend,1.025,109.5,112.46,20,A-20,Alloy 617,Plate,314626
21,CapPass,174.11,-169.30,Trend,1.029,115.5,118.46,21,A-20,Alloy 617,Plate,314626
22,CapPass,168.09,-172.20,Trend,0.976,121.5,124.5,22,A-20,Alloy 617,Plate,314626
23,CapPass,168.45,-168.80,Trend,0.998,127.5,130.5,23,A-20,Alloy 617,Plate,314626
24,CapPass,171.76,-170.60,Trend,1.007,133.53,136.5,24,A-20,Alloy 617,Plate,314626
25,CapPass,175.91,-168.80,Trend,1.042,139.53,142.53,25,A-20,Alloy 617,Plate,314626
26,CapPass,167.49,-169.20,Trend,0.99,145.53,148.53,26,A-20,Alloy 617,Plate,314626
27,CapPass,177.6,-168.80,Trend,1.052,151.53,154.53,27,A-20,Alloy 617,Plate,314626
28,CapPass,172.64,-169.50,Trend,1.018,157.56,160.56,28,A-20,Alloy 617,Plate,314626
29,CapPass,172.38,-166.40,Trend,1.036,163.56,166.56,29,A-20,Alloy 617,Plate,314626
30,CapPass,175.9,-163.30,Trend,1.077,169.56,172.59,30,A-20,Alloy 617,Plate,314626
31,CapPass,171.97,-168.90,Trend,1.018,175.59,178.59,31,A-20,Alloy 617,Plate,314626
32,CapPass,174.96,-170.50,Trend,1.026,181.59,184.59,32,A-20,Alloy 617,Plate,314626
33,CapPass,173.22,-168.60,Trend,1.028,187.59,190.62,33,A-20,Alloy 617,Plate,314626
34,CapPass,171.85,-168.20,Trend,1.022,193.62,196.62,34,A-20,Alloy 617,Plate,314626
35,CapPass,174.12,-172.80,Trend,1.008,199.65,202.65,35,A-20,Alloy 617,Plate,314626
36,CapPass,173.38,-167.50,Trend,1.035,205.65,208.65,36,A-20,Alloy 617,Plate,314626
37,CapPass,173.52,-170.40,Trend,1.019,211.65,214.65,37,A-20,Alloy 617,Plate,314626
38,CapPass,173.45,-172.20,Trend,1.007,217.65,220.65,38,A-20,Alloy 617,Plate,314626
39,CapPass,171.59,-170.10,Trend,1.008,223.68,226.68,39,A-20,Alloy 617,Plate,314626
40,CapPass,173.32,-168.70,Trend,1.027,229.68,232.68,40,A-20,Alloy 617,Plate,314626
41,CapPass,170.63,-169.80,Trend,1.005,235.71,238.71,41,A-20,Alloy 617,Plate,314626
42,CapPass,171.25,-168.80,Trend,1.014,241.71,244.71,42,A-20,Alloy 617,Plate,314626
43,CapPass,175.5,-171.50,Trend,1.023,247.71,250.71,43,A-20,Alloy 617,Plate,314626
44,CapPass,173.52,-170.10,Trend,1.02,253.75,256.71,44,A-20,Alloy 617,Plate,314626
45,CapPass,175.4,-169.80,Trend,1.033,259.75,262.75,45,A-20,Alloy 617,Plate,314626
46,CapPass,169.06,-170.00,Trend,0.995,265.78,268.78,46,A-20,Alloy 617,Plate,314626
47,CapPass,170.52,-167.20,Trend,1.02,271.78,274.78,47,A-20,Alloy 617,Plate,314626
48,CapPass,168.41,-173.80,Trend,0.969,277.81,280.81,48,A-20,Alloy 617,Plate,314626
