"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",106.69,-112.4,"Trend",0.949,0.93,3.03,1,"B-3","Alloy 617","Plate",314626
2,"CapPass",116.21,-132.9,"Trend",0.874,5.04,7.32,2,"B-3","Alloy 617","Plate",314626
3,"CapPass",122.80,-155.1,"Trend",0.792,9.54,12.01,3,"B-3","Alloy 617","Plate",314626
4,"CapPass",133.47,-162.0,"Trend",0.824,14.47,17.00,4,"B-3","Alloy 617","Plate",314626
5,"CapPass",165.10,-166.2,"Trend",0.993,19.70,22.53,5,"B-3","Alloy 617","Plate",314626
6,"CapPass",172.74,-163.2,"Trend",1.059,25.36,28.31,6,"B-3","Alloy 617","Plate",314626
7,"CapPass",169.07,-165.2,"Trend",1.024,31.12,34.20,7,"B-3","Alloy 617","Plate",314626
8,"CapPass",169.78,-158.7,"Trend",1.070,37.04,39.81,8,"B-3","Alloy 617","Plate",314626
9,"CapPass",169.38,-164.6,"Trend",1.029,42.95,46.11,9,"B-3","Alloy 617","Plate",314626
10,"CapPass",172.63,-166.5,"Trend",1.037,49.04,52.06,10,"B-3","Alloy 617","Plate",314626
11,"CapPass",173.46,-159.7,"Trend",1.086,55.01,57.73,11,"B-3","Alloy 617","Plate",314626
12,"CapPass",171.57,-165.7,"Trend",1.036,60.93,64.01,12,"B-3","Alloy 617","Plate",314626
13,"CapPass",172.25,-162.6,"Trend",1.059,66.95,69.76,13,"B-3","Alloy 617","Plate",314626
14,"CapPass",171.82,-159.3,"Trend",1.079,72.82,75.67,14,"B-3","Alloy 617","Plate",314626
15,"CapPass",170.07,-163.7,"Trend",1.039,78.79,81.70,15,"B-3","Alloy 617","Plate",314626
16,"CapPass",169.01,-161.7,"Trend",1.045,84.70,87.57,16,"B-3","Alloy 617","Plate",314626
17,"CapPass",171.81,-158.5,"Trend",1.084,90.70,93.42,17,"B-3","Alloy 617","Plate",314626
18,"CapPass",176.31,-167.9,"Trend",1.050,96.79,99.84,18,"B-3","Alloy 617","Plate",314626
19,"CapPass",169.31,-170.0,"Trend",0.996,102.81,105.61,19,"B-3","Alloy 617","Plate",314626
20,"CapPass",166.42,-166.1,"Trend",1.002,108.65,111.53,20,"B-3","Alloy 617","Plate",314626
21,"CapPass",170.08,-166.6,"Trend",1.021,114.70,117.56,21,"B-3","Alloy 617","Plate",314626
22,"CapPass",172.05,-172.6,"Trend",0.997,120.67,123.59,22,"B-3","Alloy 617","Plate",314626
23,"CapPass",169.29,-170.6,"Trend",0.992,126.20,129.67,23,"B-3","Alloy 617","Plate",314626
24,"CapPass",177.19,-170.1,"Trend",1.041,132.67,135.62,24,"B-3","Alloy 617","Plate",314626
25,"CapPass",180.12,-169.9,"Trend",1.060,138.64,141.62,25,"B-3","Alloy 617","Plate",314626
26,"CapPass",175.76,-169.0,"Trend",1.040,144.48,147.51,26,"B-3","Alloy 617","Plate",314626
27,"CapPass",174.34,-164.4,"Trend",1.061,150.56,153.54,27,"B-3","Alloy 617","Plate",314626
28,"CapPass",172.04,-169.4,"Trend",1.016,156.53,159.51,28,"B-3","Alloy 617","Plate",314626
29,"CapPass",173.41,-172.1,"Trend",1.008,162.51,165.47,29,"B-3","Alloy 617","Plate",314626
30,"CapPass",175.36,-171.1,"Trend",1.025,168.47,171.43,30,"B-3","Alloy 617","Plate",314626
31,"CapPass",175.66,-167.4,"Trend",1.050,174.39,176.98,31,"B-3","Alloy 617","Plate",314626
32,"CapPass",167.10,-174.2,"Trend",0.959,180.42,183.39,32,"B-3","Alloy 617","Plate",314626
33,"CapPass",172.33,-174.4,"Trend",0.988,186.39,189.34,33,"B-3","Alloy 617","Plate",314626
34,"CapPass",174.22,-172.8,"Trend",1.008,192.37,195.32,34,"B-3","Alloy 617","Plate",314626
35,"CapPass",174.74,-174.4,"Trend",1.002,198.34,201.29,35,"B-3","Alloy 617","Plate",314626
36,"CapPass",176.10,-173.8,"Trend",1.013,204.31,207.26,36,"B-3","Alloy 617","Plate",314626
37,"CapPass",170.76,-168.7,"Trend",1.012,210.23,213.18,37,"B-3","Alloy 617","Plate",314626
