"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",125.34,-123.7,"Trend",1.013,0.98,2.98,1,"F-12","Alloy 617","Plate",314626
2,"CapPass",137.19,-138.2,"Trend",0.993,5.08,7.29,2,"F-12","Alloy 617","Plate",314626
3,"CapPass",146.16,-152.2,"Trend",0.960,9.59,12.00,3,"F-12","Alloy 617","Plate",314626
4,"CapPass",155.93,-164.6,"Trend",0.947,14.50,17.09,4,"F-12","Alloy 617","Plate",314626
5,"CapPass",166.20,-168.7,"Trend",0.985,19.80,22.58,5,"F-12","Alloy 617","Plate",314626
6,"CapPass",166.18,-170.4,"Trend",0.975,25.45,28.35,6,"F-12","Alloy 617","Plate",314626
7,"CapPass",165.13,-168.9,"Trend",0.977,31.27,34.23,7,"F-12","Alloy 617","Plate",314626
8,"CapPass",165.83,-169.6,"Trend",0.978,37.19,40.19,8,"F-12","Alloy 617","Plate",314626
9,"CapPass",164.11,-167.5,"Trend",0.980,43.21,46.21,9,"F-12","Alloy 617","Plate",314626
10,"CapPass",163.48,-167.9,"Trend",0.974,49.20,52.21,10,"F-12","Alloy 617","Plate",314626
11,"CapPass",162.06,-166.5,"Trend",0.973,55.22,58.22,11,"F-12","Alloy 617","Plate",314626
12,"CapPass",162.26,-165.0,"Trend",0.983,61.22,64.22,12,"F-12","Alloy 617","Plate",314626
13,"CapPass",162.52,-165.5,"Trend",0.982,67.23,70.23,13,"F-12","Alloy 617","Plate",314626
14,"CapPass",161.94,-165.6,"Trend",0.978,73.24,76.23,14,"F-12","Alloy 617","Plate",314626
15,"CapPass",161.14,-165.2,"Trend",0.975,79.24,82.24,15,"F-12","Alloy 617","Plate",314626
16,"CapPass",161.05,-165.0,"Trend",0.976,85.24,88.25,16,"F-12","Alloy 617","Plate",314626
17,"CapPass",161.55,-165.0,"Trend",0.979,91.25,94.26,17,"F-12","Alloy 617","Plate",314626
18,"CapPass",160.70,-164.3,"Trend",0.978,97.25,100.26,18,"F-12","Alloy 617","Plate",314626
19,"CapPass",160.57,-164.3,"Trend",0.977,103.26,106.26,19,"F-12","Alloy 617","Plate",314626
20,"CapPass",161.15,-164.3,"Trend",0.981,109.27,112.27,20,"F-12","Alloy 617","Plate",314626
21,"CapPass",161.03,-164.3,"Trend",0.980,115.27,118.28,21,"F-12","Alloy 617","Plate",314626
22,"CapPass",160.68,-164.6,"Trend",0.976,121.28,124.28,22,"F-12","Alloy 617","Plate",314626
23,"CapPass",160.80,-164.4,"Trend",0.978,127.28,130.29,23,"F-12","Alloy 617","Plate",314626
24,"CapPass",160.60,-164.7,"Trend",0.975,133.29,136.29,24,"F-12","Alloy 617","Plate",314626
25,"CapPass",160.90,-164.3,"Trend",0.979,139.30,142.30,25,"F-12","Alloy 617","Plate",314626
26,"CapPass",160.61,-164.3,"Trend",0.977,145.31,148.31,26,"F-12","Alloy 617","Plate",314626
27,"CapPass",160.96,-164.4,"Trend",0.979,151.30,154.31,27,"F-12","Alloy 617","Plate",314626
28,"CapPass",161.01,-164.1,"Trend",0.981,157.32,160.32,28,"F-12","Alloy 617","Plate",314626
29,"CapPass",160.84,-164.6,"Trend",0.977,163.32,166.32,29,"F-12","Alloy 617","Plate",314626
30,"CapPass",158.97,-164.1,"Trend",0.969,169.33,172.33,30,"F-12","Alloy 617","Plate",314626
31,"CapPass",161.47,-164.4,"Trend",0.982,175.33,178.34,31,"F-12","Alloy 617","Plate",314626
32,"CapPass",160.92,-164.0,"Trend",0.981,181.34,184.34,32,"F-12","Alloy 617","Plate",314626
33,"CapPass",160.83,-164.2,"Trend",0.980,187.34,190.35,33,"F-12","Alloy 617","Plate",314626
34,"CapPass",160.68,-164.5,"Trend",0.977,193.35,196.35,34,"F-12","Alloy 617","Plate",314626
35,"CapPass",160.80,-164.0,"Trend",0.980,199.36,202.36,35,"F-12","Alloy 617","Plate",314626
36,"CapPass",160.93,-163.8,"Trend",0.983,205.36,208.36,36,"F-12","Alloy 617","Plate",314626
37,"CapPass",159.93,-165.1,"Trend",0.969,211.37,214.37,37,"F-12","Alloy 617","Plate",314626
