"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",163.96,-165.67,,"Qualified",0.990,1.31,4.28,"43-20",1,"Alloy 617","Plate",314626
2,"CapPass",169.61,-173.90,,"Qualified",0.975,7.33,10.77,"43-20",2,"Alloy 617","Plate",314626
3,"CapPass",171.33,-173.80,,"Qualified",0.986,13.80,17.47,"43-20",3,"Alloy 617","Plate",314626
4,"CapPass",175.44,-178.81,,"Qualified",0.981,20.96,24.56,"43-20",4,"Alloy 617","Plate",314626
5,"CapPass",167.41,-174.72,,"Qualified",0.958,28.26,31.89,"43-20",5,"Alloy 617","Plate",314626
6,"CapPass",167.60,-171.82,,"Qualified",0.975,35.97,39.89,"43-20",6,"Alloy 617","Plate",314626
7,"CapPass",167.14,-168.76,,"Qualified",0.990,43.99,47.81,"43-20",7,"Alloy 617","Plate",314626
8,"CapPass",165.00,-168.31,,"Qualified",0.980,51.88,55.99,"43-20",8,"Alloy 617","Plate",314626
9,"CapPass",162.87,-167.15,,"Qualified",0.974,60.01,63.99,"43-20",9,"Alloy 617","Plate",314626
10,"CapPass",160.95,-166.02,,"Qualified",0.969,68.00,72.00,"43-20",10,"Alloy 617","Plate",314626
11,"CapPass",162.38,-165.13,,"Qualified",0.983,75.83,80.02,"43-20",11,"Alloy 617","Plate",314626
12,"CapPass",162.35,-168.70,,"Qualified",0.962,84.03,88.03,"43-20",12,"Alloy 617","Plate",314626
13,"CapPass",162.26,-166.84,,"Qualified",0.973,91.91,96.02,"43-20",13,"Alloy 617","Plate",314626
14,"CapPass",163.13,-166.10,,"Qualified",0.982,99.99,104.04,"43-20",14,"Alloy 617","Plate",314626
15,"CapPass",161.98,-166.17,,"Qualified",0.975,107.65,112.06,"43-20",15,"Alloy 617","Plate",314626
16,"CapPass",161.72,-165.53,,"Qualified",0.977,115.93,120.06,"43-20",16,"Alloy 617","Plate",314626
17,"CapPass",161.07,-166.24,,"Qualified",0.969,123.92,128.07,"43-20",17,"Alloy 617","Plate",314626
18,"CapPass",160.65,-166.38,,"Qualified",0.966,132.08,136.08,"43-20",18,"Alloy 617","Plate",314626
19,"CapPass",161.72,-167.29,,"Qualified",0.967,139.88,144.09,"43-20",19,"Alloy 617","Plate",314626
20,"CapPass",162.45,-166.12,,"Qualified",0.978,148.05,151.93,"43-20",20,"Alloy 617","Plate",314626
21,"CapPass",162.32,-167.21,,"Qualified",0.971,155.99,160.13,"43-20",21,"Alloy 617","Plate",314626
22,"CapPass",163.29,-164.47,,"Qualified",0.993,163.97,168.13,"43-20",22,"Alloy 617","Plate",314626
23,"CapPass",160.33,-166.69,,"Qualified",0.962,171.79,176.10,"43-20",23,"Alloy 617","Plate",314626
24,"CapPass",162.04,-164.18,,"Qualified",0.987,180.01,183.89,"43-20",24,"Alloy 617","Plate",314626
25,"CapPass",159.97,-163.98,,"Qualified",0.976,188.13,192.01,"43-20",25,"Alloy 617","Plate",314626
26,"CapPass",162.27,-164.89,,"Qualified",0.984,196.07,200.16,"43-20",26,"Alloy 617","Plate",314626
27,"CapPass",162.18,-165.75,,"Qualified",0.978,204.08,208.17,"43-20",27,"Alloy 617","Plate",314626
28,"CapPass",163.64,-166.13,,"Qualified",0.985,212.02,216.17,"43-20",28,"Alloy 617","Plate",314626
29,"CapPass",161.57,-165.30,,"Qualified",0.977,219.91,224.18,"43-20",29,"Alloy 617","Plate",314626
30,"CapPass",162.39,-166.70,,"Qualified",0.974,227.92,232.17,"43-20",30,"Alloy 617","Plate",314626
31,"CapPass",161.92,-167.26,,"Qualified",0.968,236.11,240.21,"43-20",31,"Alloy 617","Plate",314626
32,"CapPass",162.27,-165.10,,"Qualified",0.983,244.11,248.22,"43-20",32,"Alloy 617","Plate",314626
33,"CapPass",162.98,-165.41,,"Qualified",0.985,252.19,256.19,"43-20",33,"Alloy 617","Plate",314626
