"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",168.31,-171.8,"Qualified",0.980,1.94,5.78,1,"B-13","Alloy 617","Plate",314626
2,"CapPass",176.17,-164.1,"Qualified",1.073,9.52,14.28,2,"B-13","Alloy 617","Plate",314626
3,"CapPass",160.69,-156.3,"Qualified",1.028,18.57,23.21,3,"B-13","Alloy 617","Plate",314626
4,"CapPass",155.22,-152.8,"Qualified",1.016,28.69,33.98,4,"B-13","Alloy 617","Plate",314626
5,"CapPass",152.56,-151.7,"Qualified",1.006,38.98,44.80,5,"B-13","Alloy 617","Plate",314626
6,"CapPass",150.45,-148.9,"Qualified",1.010,50.71,56.22,6,"B-13","Alloy 617","Plate",314626
7,"CapPass",149.41,-149.0,"Qualified",1.003,61.70,67.91,7,"B-13","Alloy 617","Plate",314626
8,"CapPass",149.83,-148.4,"Qualified",1.009,74.32,80.33,8,"B-13","Alloy 617","Plate",314626
9,"CapPass",148.22,-147.7,"Qualified",1.004,86.32,91.50,9,"B-13","Alloy 617","Plate",314626
10,"CapPass",148.25,-147.4,"Qualified",1.006,97.72,104.34,10,"B-13","Alloy 617","Plate",314626
11,"CapPass",148.05,-146.4,"Qualified",1.011,109.92,116.04,11,"B-13","Alloy 617","Plate",314626
12,"CapPass",148.01,-147.0,"Qualified",1.007,121.77,128.31,12,"B-13","Alloy 617","Plate",314626
13,"CapPass",147.03,-147.0,"Qualified",1.000,134.39,140.37,13,"B-13","Alloy 617","Plate",314626
14,"CapPass",147.36,-146.5,"Qualified",1.006,146.05,151.91,14,"B-13","Alloy 617","Plate",314626
15,"CapPass",148.30,-146.8,"Qualified",1.010,158.37,164.12,15,"B-13","Alloy 617","Plate",314626
16,"CapPass",147.12,-147.7,"Qualified",0.996,169.92,176.41,16,"B-13","Alloy 617","Plate",314626
17,"CapPass",147.69,-147.0,"Qualified",1.005,181.76,188.10,17,"B-13","Alloy 617","Plate",314626
18,"CapPass",147.53,-146.3,"Qualified",1.008,194.09,200.41,18,"B-13","Alloy 617","Plate",314626
19,"CapPass",147.27,-146.4,"Qualified",1.006,206.33,212.40,19,"B-13","Alloy 617","Plate",314626
20,"CapPass",147.37,-146.7,"Qualified",1.004,218.42,224.03,20,"B-13","Alloy 617","Plate",314626
21,"CapPass",148.12,-145.6,"Qualified",1.017,230.44,236.40,21,"B-13","Alloy 617","Plate",314626
22,"CapPass",146.53,-146.5,"Qualified",1.000,241.97,248.44,22,"B-13","Alloy 617","Plate",314626
23,"CapPass",147.90,-145.9,"Qualified",1.014,254.44,259.72,23,"B-13","Alloy 617","Plate",314626
24,"CapPass",147.53,-146.7,"Qualified",1.006,266.45,272.36,24,"B-13","Alloy 617","Plate",314626
25,"CapPass",147.25,-146.9,"Qualified",1.002,278.34,284.49,25,"B-13","Alloy 617","Plate",314626
26,"CapPass",146.93,-145.6,"Qualified",1.009,289.50,296.48,26,"B-13","Alloy 617","Plate",314626
27,"CapPass",147.17,-145.8,"Qualified",1.009,302.40,308.50,27,"B-13","Alloy 617","Plate",314626
28,"CapPass",147.37,-145.5,"Qualified",1.013,314.38,320.50,28,"B-13","Alloy 617","Plate",314626
29,"CapPass",147.35,-146.6,"Qualified",1.005,326.01,332.49,29,"B-13","Alloy 617","Plate",314626
30,"CapPass",147.10,-146.0,"Qualified",1.007,338.51,344.52,30,"B-13","Alloy 617","Plate",314626
31,"CapPass",146.25,-146.8,"Qualified",0.996,350.53,356.54,31,"B-13","Alloy 617","Plate",314626
32,"CapPass",147.90,-147.5,"Qualified",1.003,362.47,368.45,32,"B-13","Alloy 617","Plate",314626
33,"CapPass",147.59,-146.9,"Qualified",1.004,374.55,380.56,33,"B-13","Alloy 617","Plate",314626
34,"CapPass",147.66,-146.3,"Qualified",1.009,386.50,391.95,34,"B-13","Alloy 617","Plate",314626
35,"CapPass",147.04,-146.0,"Qualified",1.007,398.03,404.07,35,"B-13","Alloy 617","Plate",314626
36,"CapPass",147.42,-145.1,"Qualified",1.016,410.56,416.30,36,"B-13","Alloy 617","Plate",314626
37,"CapPass",147.21,-145.8,"Qualified",1.010,422.04,428.05,37,"B-13","Alloy 617","Plate",314626
38,"CapPass",147.47,-146.5,"Qualified",1.007,434.20,440.59,38,"B-13","Alloy 617","Plate",314626
