"Stress Mpa","Strain","Qual State","Qual Exceptions","Elapsed Time Sec","Data State","Cycle Label","Cycle","Count","Sample","Alloy","Heat","Material_Form"
9.25,0.00005,"Qualified",,0.00,"CapPass","Cycle 1",1,1,"E-12","Alloy 617",314626,"Plate"
16.95,0.00010,"Qualified",,0.06,"CapPass","Cycle 1",1,2,"E-12","Alloy 617",314626,"Plate"
23.24,0.00015,"Qualified",,0.10,"CapPass","Cycle 1",1,3,"E-12","Alloy 617",314626,"Plate"
29.45,0.00020,"Qualified",,0.17,"CapPass","Cycle 1",1,4,"E-12","Alloy 617",314626,"Plate"
37.10,0.00025,"Qualified",,0.26,"CapPass","Cycle 1",1,5,"E-12","Alloy 617",314626,"Plate"
39.31,0.00027,"Qualified",,0.30,"CapPass","Cycle 1",1,6,"E-12","Alloy 617",314626,"Plate"
44.09,0.00030,"Qualified",,0.36,"CapPass","Cycle 1",1,7,"E-12","Alloy 617",314626,"Plate"
51.81,0.00036,"Qualified",,0.40,"CapPass","Cycle 1",1,8,"E-12","Alloy 617",314626,"Plate"
59.96,0.00041,"Qualified",,0.44,"CapPass","Cycle 1",1,9,"E-12","Alloy 617",314626,"Plate"
65.55,0.00046,"Qualified",,0.47,"CapPass","Cycle 1",1,10,"E-12","Alloy 617",314626,"Plate"
72.64,0.00051,"Qualified",,0.53,"CapPass","Cycle 1",1,11,"E-12","Alloy 617",314626,"Plate"
78.41,0.00056,"Qualified",,0.58,"CapPass","Cycle 1",1,12,"E-12","Alloy 617",314626,"Plate"
85.21,0.00061,"Qualified",,0.66,"CapPass","Cycle 1",1,13,"E-12","Alloy 617",314626,"Plate"
92.17,0.00066,"Qualified",,0.73,"CapPass","Cycle 1",1,14,"E-12","Alloy 617",314626,"Plate"
98.85,0.00071,"Qualified",,0.80,"CapPass","Cycle 1",1,15,"E-12","Alloy 617",314626,"Plate"
99.54,0.00072,"Qualified",,0.80,"CapPass","Cycle 1",1,16,"E-12","Alloy 617",314626,"Plate"
105.22,0.00076,"Qualified",,0.85,"CapPass","Cycle 1",1,17,"E-12","Alloy 617",314626,"Plate"
112.15,0.00081,"Qualified",,0.89,"CapPass","Cycle 1",1,18,"E-12","Alloy 617",314626,"Plate"
118.45,0.00086,"Qualified",,0.92,"CapPass","Cycle 1",1,19,"E-12","Alloy 617",314626,"Plate"
125.23,0.00091,"Qualified",,0.96,"CapPass","Cycle 1",1,20,"E-12","Alloy 617",314626,"Plate"
132.02,0.00096,"Qualified",,0.99,"CapPass","Cycle 1",1,21,"E-12","Alloy 617",314626,"Plate"
138.27,0.00101,"Qualified",,1.03,"CapPass","Cycle 1",1,22,"E-12","Alloy 617",314626,"Plate"
144.09,0.00106,"Qualified",,1.07,"CapPass","Cycle 1",1,23,"E-12","Alloy 617",314626,"Plate"
150.57,0.00112,"Qualified",,1.11,"CapPass","Cycle 1",1,24,"E-12","Alloy 617",314626,"Plate"
155.29,0.00117,"Qualified",,1.15,"CapPass","Cycle 1",1,25,"E-12","Alloy 617",314626,"Plate"
159.58,0.00122,"Qualified",,1.18,"CapPass","Cycle 1",1,26,"E-12","Alloy 617",314626,"Plate"
162.24,0.00127,"Qualified",,1.22,"CapPass","Cycle 1",1,27,"E-12","Alloy 617",314626,"Plate"
163.27,0.00132,"Qualified",,1.24,"CapPass","Cycle 1",1,28,"E-12","Alloy 617",314626,"Plate"
164.15,0.00137,"Qualified",,1.25,"CapPass","Cycle 1",1,29,"E-12","Alloy 617",314626,"Plate"
164.51,0.00142,"Qualified",,1.27,"CapPass","Cycle 1",1,30,"E-12","Alloy 617",314626,"Plate"
164.80,0.00147,"Qualified",,1.30,"CapPass","Cycle 1",1,31,"E-12","Alloy 617",314626,"Plate"
164.87,0.00148,"Qualified",,1.30,"CapPass","Cycle 1",1,32,"E-12","Alloy 617",314626,"Plate"
161.58,0.00152,"Qualified",,1.39,"CapPass","Cycle 1",1,33,"E-12","Alloy 617",314626,"Plate"
160.07,0.00157,"Qualified",,1.52,"CapPass","Cycle 1",1,34,"E-12","Alloy 617",314626,"Plate"
162.98,0.00162,"Qualified",,1.57,"CapPass","Cycle 1",1,35,"E-12","Alloy 617",314626,"Plate"
166.15,0.00167,"Qualified",,1.62,"CapPass","Cycle 1",1,36,"E-12","Alloy 617",314626,"Plate"
169.17,0.00173,"Qualified",,1.66,"CapPass","Cycle 1",1,37,"E-12","Alloy 617",314626,"Plate"
171.82,0.00178,"Qualified",,1.70,"CapPass","Cycle 1",1,38,"E-12","Alloy 617",314626,"Plate"
173.35,0.00183,"Qualified",,1.74,"CapPass","Cycle 1",1,39,"E-12","Alloy 617",314626,"Plate"
173.92,0.00188,"Qualified",,1.76,"CapPass","Cycle 1",1,40,"E-12","Alloy 617",314626,"Plate"
173.92,0.00193,"Qualified",,1.78,"CapPass","Cycle 1",1,41,"E-12","Alloy 617",314626,"Plate"
173.16,0.00198,"Qualified",,1.79,"CapPass","Cycle 1",1,42,"E-12","Alloy 617",314626,"Plate"
172.64,0.00202,"Qualified",,1.80,"CapPass","Cycle 1",1,43,"E-12","Alloy 617",314626,"Plate"
