"Cycle Label","Data State","Elapsed Time Sec","Qual State","Strain","Stress Mpa","Count","Sample","Alloy","Material_Form","Heat"
"Cycle 1","CapPass",0.00,"Qualified",0.00005,8.63,1,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.05,"Qualified",0.00010,15.57,2,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.10,"Qualified",0.00015,22.51,3,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.16,"Qualified",0.00020,29.72,4,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.25,"Qualified",0.00025,35.91,5,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.30,"Qualified",0.00028,39.11,6,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.36,"Qualified",0.00030,42.99,7,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.41,"Qualified",0.00036,51.48,8,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.44,"Qualified",0.00041,57.03,9,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.47,"Qualified",0.00046,63.75,10,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.51,"Qualified",0.00051,70.24,11,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.58,"Qualified",0.00056,77.01,12,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.65,"Qualified",0.00061,84.00,13,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.72,"Qualified",0.00066,90.28,14,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.80,"Qualified",0.00071,98.48,15,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.85,"Qualified",0.00076,105.12,16,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.89,"Qualified",0.00081,112.09,17,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.93,"Qualified",0.00086,119.37,18,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",0.96,"Qualified",0.00091,125.87,19,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.00,"Qualified",0.00096,131.84,20,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.03,"Qualified",0.00102,138.32,21,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.07,"Qualified",0.00107,144.58,22,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.11,"Qualified",0.00112,150.34,23,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.15,"Qualified",0.00117,155.78,24,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.19,"Qualified",0.00122,159.82,25,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.22,"Qualified",0.00127,163.28,26,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.25,"Qualified",0.00132,165.38,27,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.27,"Qualified",0.00137,165.89,28,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.29,"Qualified",0.00142,166.31,29,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.30,"Qualified",0.00146,166.29,30,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.31,"Qualified",0.00147,166.38,31,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.35,"Qualified",0.00153,165.56,32,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.52,"Qualified",0.00158,160.15,33,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.58,"Qualified",0.00163,162.96,34,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.63,"Qualified",0.00168,166.93,35,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.67,"Qualified",0.00173,169.39,36,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.71,"Qualified",0.00178,172.42,37,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.74,"Qualified",0.00183,173.91,38,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.77,"Qualified",0.00188,174.94,39,"E-13","Alloy 617","Plate",314626
"Cycle 1","CapPass",1.79,"Qualified",0.00193,169.10,40,"E-13","Alloy 617","Plate",314626
