"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Count","Sample","Alloy","Material_Form","Heat"
1,"CapPass",175.12,-134.8,"Qualified",1.299,1.78,12.15,1,"E-13","Alloy 617","Plate",314626
2,"CapPass",139.50,-136.5,"Qualified",1.022,21.44,31.00,2,"E-13","Alloy 617","Plate",314626
3,"CapPass",140.18,-136.8,"Qualified",1.025,40.53,50.01,3,"E-13","Alloy 617","Plate",314626
4,"CapPass",140.06,-136.9,"Qualified",1.023,59.37,69.28,4,"E-13","Alloy 617","Plate",314626
5,"CapPass",140.47,-137.4,"Qualified",1.022,79.42,89.60,5,"E-13","Alloy 617","Plate",314626
6,"CapPass",140.53,-136.6,"Qualified",1.029,99.55,109.43,6,"E-13","Alloy 617","Plate",314626
7,"CapPass",140.90,-137.3,"Qualified",1.026,119.27,129.32,7,"E-13","Alloy 617","Plate",314626
8,"CapPass",141.07,-138.0,"Qualified",1.022,138.64,149.73,8,"E-13","Alloy 617","Plate",314626
9,"CapPass",140.47,-137.5,"Qualified",1.022,158.72,169.13,9,"E-13","Alloy 617","Plate",314626
10,"CapPass",140.64,-136.6,"Qualified",1.029,179.42,189.78,10,"E-13","Alloy 617","Plate",314626
11,"CapPass",140.90,-137.7,"Qualified",1.024,199.67,209.18,11,"E-13","Alloy 617","Plate",314626
12,"CapPass",140.96,-138.0,"Qualified",1.021,219.76,229.41,12,"E-13","Alloy 617","Plate",314626
13,"CapPass",140.41,-136.9,"Qualified",1.026,239.35,249.79,13,"E-13","Alloy 617","Plate",314626
14,"CapPass",141.51,-136.9,"Qualified",1.034,258.96,269.76,14,"E-13","Alloy 617","Plate",314626
15,"CapPass",140.61,-136.3,"Qualified",1.032,279.76,289.17,15,"E-13","Alloy 617","Plate",314626
16,"CapPass",141.11,-136.7,"Qualified",1.032,299.82,309.81,16,"E-13","Alloy 617","Plate",314626
17,"CapPass",140.30,-136.0,"Qualified",1.032,319.82,329.74,17,"E-13","Alloy 617","Plate",314626
18,"CapPass",140.56,-138.0,"Qualified",1.019,339.02,349.68,18,"E-13","Alloy 617","Plate",314626
19,"CapPass",140.51,-136.9,"Qualified",1.026,359.69,369.85,19,"E-13","Alloy 617","Plate",314626
20,"CapPass",140.51,-136.8,"Qualified",1.027,379.67,389.86,20,"E-13","Alloy 617","Plate",314626
21,"CapPass",140.64,-136.2,"Qualified",1.033,399.15,409.01,21,"E-13","Alloy 617","Plate",314626
22,"CapPass",140.49,-137.4,"Qualified",1.022,419.85,429.74,22,"E-13","Alloy 617","Plate",314626
23,"CapPass",140.08,-136.4,"Qualified",1.027,439.43,449.10,23,"E-13","Alloy 617","Plate",314626
24,"CapPass",140.18,-136.8,"Qualified",1.025,459.09,469.85,24,"E-13","Alloy 617","Plate",314626
25,"CapPass",139.90,-136.7,"Qualified",1.024,479.53,489.67,25,"E-13","Alloy 617","Plate",314626
26,"CapPass",139.95,-136.4,"Qualified",1.026,499.31,508.71,26,"E-13","Alloy 617","Plate",314626
27,"CapPass",140.75,-135.8,"Qualified",1.037,519.74,529.38,27,"E-13","Alloy 617","Plate",314626
28,"CapPass",139.43,-136.4,"Qualified",1.023,539.47,549.81,28,"E-13","Alloy 617","Plate",314626
29,"CapPass",140.36,-136.4,"Qualified",1.029,558.87,569.91,29,"E-13","Alloy 617","Plate",314626
30,"CapPass",140.83,-136.9,"Qualified",1.029,579.56,589.54,30,"E-13","Alloy 617","Plate",314626
31,"CapPass",140.08,-136.2,"Qualified",1.029,599.85,609.55,31,"E-13","Alloy 617","Plate",314626
32,"CapPass",141.16,-136.7,"Qualified",1.033,619.87,629.96,32,"E-13","Alloy 617","Plate",314626
33,"CapPass",139.51,-136.8,"Qualified",1.020,639.33,649.91,33,"E-13","Alloy 617","Plate",314626
34,"CapPass",139.85,-136.3,"Qualified",1.026,659.96,669.97,34,"E-13","Alloy 617","Plate",314626
35,"CapPass",139.98,-135.5,"Qualified",1.033,679.64,688.98,35,"E-13","Alloy 617","Plate",314626
36,"CapPass",139.65,-135.1,"Qualified",1.034,699.14,709.82,36,"E-13","Alloy 617","Plate",314626
37,"CapPass",140.44,-135.2,"Qualified",1.039,719.95,729.98,37,"E-13","Alloy 617","Plate",314626
38,"CapPass",140.33,-136.1,"Qualified",1.031,739.65,749.41,38,"E-13","Alloy 617","Plate",314626
39,"CapPass",139.70,-135.5,"Qualified",1.031,758.95,768.91,39,"E-13","Alloy 617","Plate",314626
40,"CapPass",139.89,-136.0,"Qualified",1.029,779.23,789.84,40,"E-13","Alloy 617","Plate",314626
41,"CapPass",139.98,-136.5,"Qualified",1.025,799.88,809.97,41,"E-13","Alloy 617","Plate",314626
42,"CapPass",141.02,-135.6,"Qualified",1.040,819.62,829.78,42,"E-13","Alloy 617","Plate",314626
43,"CapPass",139.87,-136.2,"Qualified",1.027,839.63,849.59,43,"E-13","Alloy 617","Plate",314626
44,"CapPass",140.40,-136.0,"Qualified",1.032,860.03,869.38,44,"E-13","Alloy 617","Plate",314626
45,"CapPass",139.21,-135.4,"Qualified",1.028,879.42,890.08,45,"E-13","Alloy 617","Plate",314626
46,"CapPass",139.26,-135.5,"Qualified",1.028,899.99,909.84,46,"E-13","Alloy 617","Plate",314626
47,"CapPass",140.70,-135.2,"Qualified",1.041,919.55,928.68,47,"E-13","Alloy 617","Plate",314626
48,"CapPass",140.01,-135.5,"Qualified",1.033,939.49,949.83,48,"E-13","Alloy 617","Plate",314626
49,"CapPass",139.59,-136.2,"Qualified",1.025,959.83,969.03,49,"E-13","Alloy 617","Plate",314626
50,"CapPass",139.11,-136.5,"Qualified",1.019,979.47,990.11,50,"E-13","Alloy 617","Plate",314626
51,"CapPass",140.06,-135.7,"Qualified",1.032,1000.12,1009.95,51,"E-13","Alloy 617","Plate",314626
52,"CapPass",139.84,-135.2,"Qualified",1.034,1020.02,1029.88,52,"E-13","Alloy 617","Plate",314626
53,"CapPass",139.02,-136.3,"Qualified",1.020,1040.08,1050.14,53,"E-13","Alloy 617","Plate",314626
54,"CapPass",139.57,-135.7,"Qualified",1.029,1059.63,1070.14,54,"E-13","Alloy 617","Plate",314626
55,"CapPass",139.44,-135.5,"Qualified",1.029,1079.91,1090.13,55,"E-13","Alloy 617","Plate",314626
56,"CapPass",139.49,-135.7,"Qualified",1.028,1100.05,1110.17,56,"E-13","Alloy 617","Plate",314626
57,"CapPass",140.57,-135.5,"Qualified",1.037,1119.64,1130.18,57,"E-13","Alloy 617","Plate",314626
58,"CapPass",139.35,-136.5,"Qualified",1.021,1139.95,1150.19,58,"E-13","Alloy 617","Plate",314626
59,"CapPass",139.95,-134.9,"Qualified",1.038,1160.19,1170.20,59,"E-13","Alloy 617","Plate",314626
60,"CapPass",139.78,-135.8,"Qualified",1.029,1179.94,1190.18,60,"E-13","Alloy 617","Plate",314626
61,"CapPass",139.12,-134.9,"Qualified",1.031,1200.22,1209.94,61,"E-13","Alloy 617","Plate",314626
62,"CapPass",139.55,-136.3,"Qualified",1.024,1219.85,1230.10,62,"E-13","Alloy 617","Plate",314626
63,"CapPass",139.15,-135.3,"Qualified",1.028,1240.19,1249.92,63,"E-13","Alloy 617","Plate",314626
64,"CapPass",139.51,-135.0,"Qualified",1.033,1260.12,1270.08,64,"E-13","Alloy 617","Plate",314626
65,"CapPass",139.40,-134.7,"Qualified",1.035,1280.23,1290.21,65,"E-13","Alloy 617","Plate",314626
66,"CapPass",138.91,-135.0,"Qualified",1.029,1300.08,1309.69,66,"E-13","Alloy 617","Plate",314626
67,"CapPass",139.98,-135.7,"Qualified",1.031,1320.15,1330.09,67,"E-13","Alloy 617","Plate",314626
68,"CapPass",139.32,-135.8,"Qualified",1.026,1339.75,1350.28,68,"E-13","Alloy 617","Plate",314626
69,"CapPass",138.79,-134.4,"Qualified",1.032,1360.11,1370.12,69,"E-13","Alloy 617","Plate",314626
70,"CapPass",139.11,-135.0,"Qualified",1.031,1378.78,1390.08,70,"E-13","Alloy 617","Plate",314626
71,"CapPass",138.42,-135.2,"Qualified",1.024,1399.62,1410.17,71,"E-13","Alloy 617","Plate",314626
72,"CapPass",138.86,-135.3,"Qualified",1.026,1420.31,1429.99,72,"E-13","Alloy 617","Plate",314626
73,"CapPass",139.56,-136.1,"Qualified",1.025,1439.71,1450.32,73,"E-13","Alloy 617","Plate",314626
74,"CapPass",139.72,-135.2,"Qualified",1.033,1459.29,1469.91,74,"E-13","Alloy 617","Plate",314626
75,"CapPass",139.23,-134.4,"Qualified",1.036,1480.17,1490.35,75,"E-13","Alloy 617","Plate",314626
76,"CapPass",138.71,-134.8,"Qualified",1.029,1499.94,1510.35,76,"E-13","Alloy 617","Plate",314626
77,"CapPass",139.66,-133.9,"Qualified",1.043,1520.02,1529.75,77,"E-13","Alloy 617","Plate",314626
78,"CapPass",138.76,-134.9,"Qualified",1.029,1540.32,1550.35,78,"E-13","Alloy 617","Plate",314626
79,"CapPass",139.95,-134.6,"Qualified",1.040,1559.76,1570.12,79,"E-13","Alloy 617","Plate",314626
80,"CapPass",140.15,-135.1,"Qualified",1.037,1579.74,1590.39,80,"E-13","Alloy 617","Plate",314626
81,"CapPass",139.23,-135.1,"Qualified",1.031,1599.36,1610.37,81,"E-13","Alloy 617","Plate",314626
82,"CapPass",139.52,-134.8,"Qualified",1.035,1619.44,1630.35,82,"E-13","Alloy 617","Plate",314626
83,"CapPass",139.13,-134.7,"Qualified",1.033,1639.47,1650.40,83,"E-13","Alloy 617","Plate",314626
84,"CapPass",139.85,-134.1,"Qualified",1.043,1660.21,1670.06,84,"E-13","Alloy 617","Plate",314626
85,"CapPass",139.05,-134.8,"Qualified",1.031,1680.40,1690.43,85,"E-13","Alloy 617","Plate",314626
86,"CapPass",138.49,-134.7,"Qualified",1.028,1699.92,1710.44,86,"E-13","Alloy 617","Plate",314626
