"Cycle","Data State","Max Stress Mpa","Min Stress Mpa","Qual Exceptions","Qual State","Stress Ratio","Time Max Stress Sec","Time Min Stress Sec","Sample","Count","Alloy","Material_Form","Heat"
1,"CapPass",174.88,-150.45,,"Qualified",1.162,2.08,27.66,"E-28",1,"Alloy 617","Plate",314626
2,"CapPass",150.30,-154.12,,"Qualified",0.975,47.02,65.66,"E-28",2,"Alloy 617","Plate",314626
3,"CapPass",150.91,-154.36,,"Qualified",0.978,81.73,105.16,"E-28",3,"Alloy 617","Plate",314626
4,"CapPass",151.44,-154.44,,"Qualified",0.981,123.25,144.63,"E-28",4,"Alloy 617","Plate",314626
5,"CapPass",151.09,-153.44,,"Qualified",0.985,162.82,184.69,"E-28",5,"Alloy 617","Plate",314626
6,"CapPass",151.12,-153.46,,"Qualified",0.985,200.43,222.23,"E-28",6,"Alloy 617","Plate",314626
7,"CapPass",150.88,-153.58,,"Qualified",0.982,242.77,264.65,"E-28",7,"Alloy 617","Plate",314626
8,"CapPass",152.04,-153.35,,"Qualified",0.991,281.86,303.78,"E-28",8,"Alloy 617","Plate",314626
9,"CapPass",151.33,-154.34,,"Qualified",0.980,320.13,343.41,"E-28",9,"Alloy 617","Plate",314626
10,"CapPass",151.32,-154.18,,"Qualified",0.981,364.70,384.49,"E-28",10,"Alloy 617","Plate",314626
11,"CapPass",151.96,-154.85,,"Qualified",0.981,403.93,423.71,"E-28",11,"Alloy 617","Plate",314626
12,"CapPass",151.06,-153.93,,"Qualified",0.981,441.13,463.75,"E-28",12,"Alloy 617","Plate",314626
13,"CapPass",151.65,-154.91,,"Qualified",0.979,484.10,504.59,"E-28",13,"Alloy 617","Plate",314626
14,"CapPass",151.50,-154.78,,"Qualified",0.979,522.91,544.47,"E-28",14,"Alloy 617","Plate",314626
15,"CapPass",152.34,-154.45,,"Qualified",0.986,562.91,583.85,"E-28",15,"Alloy 617","Plate",314626
16,"CapPass",151.99,-155.55,,"Qualified",0.977,602.37,623.47,"E-28",16,"Alloy 617","Plate",314626
17,"CapPass",151.20,-153.32,,"Qualified",0.986,639.79,664.78,"E-28",17,"Alloy 617","Plate",314626
18,"CapPass",151.20,-154.40,,"Qualified",0.979,683.45,704.78,"E-28",18,"Alloy 617","Plate",314626
19,"CapPass",151.03,-153.63,,"Qualified",0.983,718.92,742.31,"E-28",19,"Alloy 617","Plate",314626
20,"CapPass",151.25,-154.71,,"Qualified",0.978,762.57,784.65,"E-28",20,"Alloy 617","Plate",314626
21,"CapPass",150.82,-154.12,,"Qualified",0.979,804.77,824.53,"E-28",21,"Alloy 617","Plate",314626
22,"CapPass",150.57,-154.09,,"Qualified",0.977,842.40,864.41,"E-28",22,"Alloy 617","Plate",314626
23,"CapPass",150.97,-154.05,,"Qualified",0.980,882.73,903.36,"E-28",23,"Alloy 617","Plate",314626
24,"CapPass",150.90,-153.82,,"Qualified",0.981,923.95,944.86,"E-28",24,"Alloy 617","Plate",314626
25,"CapPass",151.57,-154.71,,"Qualified",0.980,963.48,984.58,"E-28",25,"Alloy 617","Plate",314626
26,"CapPass",150.94,-152.91,,"Qualified",0.987,1004.66,1023.80,"E-28",26,"Alloy 617","Plate",314626
27,"CapPass",151.06,-153.65,,"Qualified",0.983,1044.82,1064.65,"E-28",27,"Alloy 617","Plate",314626
28,"CapPass",150.57,-153.16,,"Qualified",0.983,1082.50,1103.72,"E-28",28,"Alloy 617","Plate",314626
29,"CapPass",151.28,-153.86,,"Qualified",0.983,1122.06,1144.56,"E-28",29,"Alloy 617","Plate",314626
30,"CapPass",150.95,-152.45,,"Qualified",0.990,1164.55,1184.28,"E-28",30,"Alloy 617","Plate",314626
31,"CapPass",152.02,-154.22,,"Qualified",0.986,1203.99,1224.90,"E-28",31,"Alloy 617","Plate",314626
32,"CapPass",151.24,-152.86,,"Qualified",0.989,1242.58,1259.57,"E-28",32,"Alloy 617","Plate",314626
33,"CapPass",150.83,-153.22,,"Qualified",0.984,1281.95,1304.86,"E-28",33,"Alloy 617","Plate",314626
34,"CapPass",151.27,-155.52,,"Qualified",0.973,1323.00,1344.29,"E-28",34,"Alloy 617","Plate",314626
35,"CapPass",150.91,-153.10,,"Qualified",0.986,1364.14,1383.99,"E-28",35,"Alloy 617","Plate",314626
36,"CapPass",149.98,-153.63,,"Qualified",0.976,1404.95,1424.68,"E-28",36,"Alloy 617","Plate",314626
37,"CapPass",150.92,-153.25,,"Qualified",0.985,1442.04,1463.87,"E-28",37,"Alloy 617","Plate",314626
38,"CapPass",151.78,-153.79,,"Qualified",0.987,1483.91,1503.19,"E-28",38,"Alloy 617","Plate",314626
39,"CapPass",151.19,-152.86,,"Qualified",0.989,1523.10,1544.22,"E-28",39,"Alloy 617","Plate",314626
40,"CapPass",150.07,-152.89,,"Qualified",0.982,1561.81,1584.99,"E-28",40,"Alloy 617","Plate",314626
41,"CapPass",150.61,-153.79,,"Qualified",0.979,1602.48,1624.35,"E-28",41,"Alloy 617","Plate",314626
42,"CapPass",150.98,-153.11,,"Qualified",0.986,1644.40,1664.40,"E-28",42,"Alloy 617","Plate",314626
